timestamp,portstr,line
20250304_175434,/dev/ttyACM4,": Data rate: 6800 kb/s, PRF: 16 MHz, Preamble: 64 symbols, Channel: #5, Preamble code #3"
20250304_175434,/dev/ttyACM3,n ...
20250304_175434,/dev/ttyACM3,"Device ID: DECA - model: 1, version: 3, revision: 0"
20250304_175434,/dev/ttyACM3,Unique ID: AA:BB:CC:DD:EE:FF:00:02
20250304_175434,/dev/ttyACM3,"Network ID & Device Address: PAN: 609A, Short Address: 02"
20250304_175434,/dev/ttyACM3,"Device mode: Data rate: 6800 kb/s, PRF: 16 MHz, Preamble: 64 symbols, Channel: #5, Preamble code #3"
20250304_175434,/dev/ttyACM2,...
20250304_175434,/dev/ttyACM2,"Device ID: DECA - model: 1, version: 3, revision: 0"
20250304_175434,/dev/ttyACM2,Unique ID: AA:BB:CC:DD:EE:FF:00:01
20250304_175434,/dev/ttyACM2,"Network ID & Device Address: PAN: 609A, Short Address: 01"
20250304_175434,/dev/ttyACM2,"Device mode: Data rate: 850 kb/s, PRF: 64 MHz, Preamble: 1024 symbols, Channel: #4, Preamble code #18"
20250304_175434,/dev/ttyACM1,n ...
20250304_175434,/dev/ttyACM1,"Device ID: DECA - model: 1, version: 3, revision: 0"
20250304_175434,/dev/ttyACM1,Unique ID: AA:BB:CC:DD:EE:FF:00:04
20250304_175434,/dev/ttyACM1,"Network ID & Device Address: PAN: 609A, Short Address: 04"
20250304_175434,/dev/ttyACM1,"Device mode: Data rate: 6800 kb/s, PRF: 16 MHz, Preamble: 64 symbols, Channel: #5, Preamble code #3"
20250304_175434,/dev/ttyACM0,": Data rate: 6800 kb/s, PRF: 16 MHz, Preamble: 64 symbols, Channel: #5, Preamble code #3"
20250304_175436,/dev/ttyACM4,n
20250304_175436,/dev/ttyACM4,let's go~
20250304_175436,/dev/ttyACM4,let's go~
20250304_175436,/dev/ttyACM4,.
20250304_175436,/dev/ttyACM4,let's go~
20250304_175436,/dev/ttyACM4,.
20250304_175436,/dev/ttyACM4,let's go~
20250304_175436,/dev/ttyACM4,.
20250304_175436,/dev/ttyACM4,let's go~
20250304_175436,/dev/ttyACM4,let's go~
20250304_175436,/dev/ttyACM4,let's go~
20250304_175436,/dev/ttyACM4,let's go~
20250304_175436,/dev/ttyACM4,let's go~
20250304_175436,/dev/ttyACM4,D
20250304_175436,/dev/ttyACM4,let's go~
20250304_175436,/dev/ttyACM4,e
20250304_175436,/dev/ttyACM4,let's go~
20250304_175436,/dev/ttyACM4,v
20250304_175436,/dev/ttyACM4,let's go~
20250304_175436,/dev/ttyACM3,1
20250304_175436,/dev/ttyACM3,let's go~
20250304_175436,/dev/ttyACM3,1
20250304_175436,/dev/ttyACM3,let's go~
20250304_175436,/dev/ttyACM3,1
20250304_175436,/dev/ttyACM3,let's go~
20250304_175436,/dev/ttyACM3,1
20250304_175436,/dev/ttyACM3,let's go~
20250304_175436,/dev/ttyACM3,1
20250304_175436,/dev/ttyACM3,let's go~
20250304_175436,/dev/ttyACM3,1
20250304_175436,/dev/ttyACM3,let's go~
20250304_175436,/dev/ttyACM3,1
20250304_175436,/dev/ttyACM3,let's go~
20250304_175436,/dev/ttyACM3,1
20250304_175436,/dev/ttyACM3,let's go~
20250304_175436,/dev/ttyACM3,1
20250304_175436,/dev/ttyACM3,let's go~
20250304_175436,/dev/ttyACM3,1
20250304_175436,/dev/ttyACM3,let's go~
20250304_175436,/dev/ttyACM3,1
20250304_175436,/dev/ttyACM3,let's go~
20250304_175436,/dev/ttyACM2,1
20250304_175436,/dev/ttyACM2,1
20250304_175436,/dev/ttyACM2,1
20250304_175436,/dev/ttyACM2,1
20250304_175436,/dev/ttyACM2,1
20250304_175436,/dev/ttyACM2,1
20250304_175436,/dev/ttyACM2,1
20250304_175436,/dev/ttyACM2,1
20250304_175436,/dev/ttyACM2,1
20250304_175436,/dev/ttyACM2,1
20250304_175436,/dev/ttyACM2,1
20250304_175436,/dev/ttyACM2,1
20250304_175436,/dev/ttyACM2,1
20250304_175436,/dev/ttyACM2,1
20250304_175436,/dev/ttyACM2,1
20250304_175436,/dev/ttyACM2,1
20250304_175436,/dev/ttyACM2,1
20250304_175436,/dev/ttyACM2,1
20250304_175436,/dev/ttyACM2,1
20250304_175436,/dev/ttyACM2,1
20250304_175436,/dev/ttyACM1,1
20250304_175436,/dev/ttyACM1,let's go~
20250304_175436,/dev/ttyACM1,1
