Time,tri_X,tri_Y,Gradient_X,Gradient_Y,Nelder_X,Nelder_Y
2025-08-13 16:25:28,24.453324999999978,44.367448613193616,,,,
2025-08-13 16:25:28,,,24.56306876741355,45.1245723448653,,
2025-08-13 16:25:28,,,,,21.31529831171713,46.417993875175696
2025-08-13 16:25:28,24.63071875,44.269213838269124,,,,
2025-08-13 16:25:28,,,24.742843887132768,45.034393750454626,,
2025-08-13 16:25:28,,,,,21.438207496783427,46.36296971177799
2025-08-13 16:25:28,24.807999999999993,44.17011134239985,,,,
2025-08-13 16:25:28,,,24.922544478457816,44.94338436370158,,
2025-08-13 16:25:28,,,,,21.560725771983293,46.30774104532098
2025-08-13 16:25:28,24.807999999999993,44.17011134239985,,,,
2025-08-13 16:25:28,,,24.918895387792624,44.91936223716028,,
2025-08-13 16:25:28,,,,,21.64397510699739,46.252382152449016
2025-08-13 16:25:29,1.7121999999999673,50.631057377463485,,,,
2025-08-13 16:25:29,,,1.713435563806964,50.596564310958925,,
2025-08-13 16:25:29,,,,,1.6918555897203238,50.59396845170485
2025-08-13 16:25:29,1.7121999999999673,50.631057377463485,,,,
2025-08-13 16:25:29,,,1.713435563806964,50.596564310958925,,
2025-08-13 16:25:29,,,,,1.6918555897203238,50.59396845170485
2025-08-13 16:25:29,1.775968750000004,50.62886069228719,,,,
2025-08-13 16:25:29,,,1.7771168470601166,50.59589159011363,,
2025-08-13 16:25:29,,,,,1.7571934738619155,50.593457617335204
2025-08-13 16:25:29,1.7126499999999965,50.62103643721156,,,,
2025-08-13 16:25:29,,,1.7137715281632917,50.58984057775516,,
2025-08-13 16:25:29,,,,,1.6946291407030314,50.587397162383624
2025-08-13 16:25:29,1.7126499999999965,50.62103643721156,,,,
2025-08-13 16:25:29,,,1.7137715281632917,50.58984057775516,,
2025-08-13 16:25:29,,,,,1.6946291407030314,50.587397162383624
2025-08-13 16:25:29,1.5860500000000286,50.605151372142934,,,,
2025-08-13 16:25:29,,,1.5871072638584696,50.577493920102356,,
2025-08-13 16:25:29,,,,,1.568745064695983,50.57503010526844
2025-08-13 16:25:29,1.713549999999998,50.60099451984615,,,,
2025-08-13 16:25:29,,,1.7144419067904004,50.57653836336281,,
2025-08-13 16:25:29,,,,,1.698247555054529,50.57415687310916
2025-08-13 16:25:29,1.6502687499999809,50.5930925428835,,,,
2025-08-13 16:25:29,,,1.65112298490046,50.57038313063476,,
