Time,tri_X,tri_Y,slide_tri_X,slide_tri_Y,Gradient_X,Gradient_Y,slide_grad_X,slide_grad_Y,Nelder_X,Nelder_Y,slide_nelder_X,slide_nelder_Y
2025-08-13 16:23:00,-0.3196999999999992,0.8198731060353184,,,,,,,,,,
2025-08-13 16:23:00,,,-0.3196999999999992,0.8198731060353184,,,,,,,,
2025-08-13 16:23:00,,,,,-0.31458481722294385,0.8113454583383162,,,,,,
2025-08-13 16:23:00,,,,,,,-0.31458481722294385,0.8113454583383162,,,,
2025-08-13 16:23:00,,,,,,,,,-0.3161759631347647,0.8074328927686938,,
2025-08-13 16:23:00,,,,,,,,,,,-0.3161759631347647,0.8074328927686938
2025-08-13 16:23:00,-0.33015624999999904,0.8157186099298814,,,,,,,,,,
2025-08-13 16:23:00,,,-0.3249281249999991,0.8177958579825999,,,,,,,,
2025-08-13 16:23:00,,,,,-0.32448789339480244,0.8060903713535769,,,,,,
2025-08-13 16:23:00,,,,,,,-0.31953635530887314,0.8087179148459465,,,,
2025-08-13 16:23:00,,,,,,,,,-0.3265974566452195,0.8017598833345928,,
2025-08-13 16:23:00,,,,,,,,,,,-0.3213867098899921,0.8045963880516434
2025-08-13 16:23:00,-0.33015624999999904,0.8157186099298814,,,,,,,,,,
2025-08-13 16:23:00,,,-0.3266708333333324,0.817103441965027,,,,,,,,
2025-08-13 16:23:00,,,,,-0.32448789339480244,0.8060903713535769,,,,,,
2025-08-13 16:23:00,,,,,,,-0.3211868680041829,0.8078420670151566,,,,
2025-08-13 16:23:00,,,,,,,,,-0.3265974566452195,0.8017598833345928,,
2025-08-13 16:23:00,,,,,,,,,,,-0.32312362547506784,0.8036508864792932
2025-08-13 16:23:00,-0.33015624999999904,0.8157186099298814,,,,,,,,,,
2025-08-13 16:23:00,,,-0.3275421874999991,0.8167572339562406,,,,,,,,
2025-08-13 16:23:00,,,,,-0.32448789339480244,0.8060903713535769,,,,,,
2025-08-13 16:23:00,,,,,,,-0.3220121243518378,0.8074041430997617,,,,
2025-08-13 16:23:00,,,,,,,,,-0.3265974566452195,0.8017598833345928,,
2025-08-13 16:23:00,,,,,,,,,,,-0.32399208326760576,0.803178135693118
2025-08-13 16:23:00,-0.33015624999999904,0.8157186099298814,,,,,,,,,,
2025-08-13 16:23:00,,,-0.32806499999999905,0.8165495091509687,,,,,,,,
2025-08-13 16:23:00,,,,,-0.32448789339480244,0.8060903713535769,,,,,,
2025-08-13 16:23:00,,,,,,,-0.32250727816043073,0.8071413887505248,,,,
2025-08-13 16:23:00,,,,,,,,,-0.3265974566452195,0.8017598833345928,,
2025-08-13 16:23:00,,,,,,,,,,,-0.3245131579431285,0.8028944852214129
2025-08-13 16:23:00,-0.34062500000000107,0.811402865027601,,,,,,,,,,
2025-08-13 16:23:00,,,-0.33224999999999943,0.8148554609494253,,,,,,,,
2025-08-13 16:23:00,,,,,-0.33442042916418574,0.8005786996056894,,,,,,
2025-08-13 16:23:00,,,,,,,-0.3264744005486791,0.8049880370039993,,,,
2025-08-13 16:23:00,,,,,,,,,-0.3373666309565317,0.7956801818288168,,
2025-08-13 16:23:00,,,,,,,,,,,-0.32875129150748195,0.8005439430334377
2025-08-13 16:23:00,-0.3395187500000011,0.8226949728778199,,,,,,,,,,
2025-08-13 16:23:00,,,-0.3341224999999999,0.8162507335390131,,,,,,,,
2025-08-13 16:23:00,,,,,-0.33167218032323037,0.8085061985941779,,,,,,
2025-08-13 16:23:00,,,,,,,-0.3279112579343647,0.8054712024521196,,,,
2025-08-13 16:23:00,,,,,,,,,-0.3350131551951924,0.8033319139474084,,
2025-08-13 16:23:00,,,,,,,,,,,-0.33043443121747657,0.8008583491560006
2025-08-13 16:23:00,-0.35000000000000087,0.818290901819151,,,,,,,,,,
2025-08-13 16:23:00,,,-0.3380912500000003,0.8167651919168669,,,,,,,,
2025-08-13 16:23:00,,,,,-0.34170559571816433,0.8028389976624785,,,,,,
2025-08-13 16:23:00,,,,,,,-0.33135479839903703,0.8048209277139,,,,
2025-08-13 16:23:00,,,,,,,,,-0.34565050125122154,0.7970126663404049,,
2025-08-13 16:23:00,,,,,,,,,,,-0.33424504013867695,0.7999089057571631
2025-08-13 16:23:00,-0.35000000000000087,0.818290901819151,,,,,,,,,,
2025-08-13 16:23:00,,,-0.34206000000000064,0.8172796502947209,,,,,,,,
2025-08-13 16:23:00,,,,,-0.34170559571816433,0.8028389976624785,,,,,,
2025-08-13 16:23:00,,,,,,,-0.3347983388637094,0.8041706529756801,,,,
2025-08-13 16:23:00,,,,,,,,,-0.34565050125122154,0.7970126663404049,,
2025-08-13 16:23:00,,,,,,,,,,,-0.33805564905987734,0.7989594623583255
2025-08-13 16:23:00,-0.35000000000000087,0.818290901819151,,,,,,,,,,
2025-08-13 16:23:00,,,-0.34602875000000094,0.8177941086725747,,,,,,,,
2025-08-13 16:23:00,,,,,-0.34170559571816433,0.8028389976624785,,,,,,
2025-08-13 16:23:00,,,,,,,-0.3382418793283818,0.8035203782374605,,,,
2025-08-13 16:23:00,,,,,,,,,-0.34565050125122154,0.7970126663404049,,
2025-08-13 16:23:00,,,,,,,,,,,-0.3418662579810777,0.7980100189594879
2025-08-13 16:23:00,-0.3709999999999999,0.8089864028523596,,,,,,,,,,
2025-08-13 16:23:00,,,-0.3521037500000007,0.8173108162375267,,,,,,,,
2025-08-13 16:23:00,,,,,-0.361967381474638,0.7911428618215419,,,,,,
2025-08-13 16:23:00,,,,,,,-0.34375126979047227,0.801633210680631,,,,
2025-08-13 16:23:00,,,,,,,,,-0.3663580552220344,0.7849089976544179,,
2025-08-13 16:23:00,,,,,,,,,,,-0.3476645428341783,0.7958557821246083
