Time,tri_X,tri_Y,slide_tri_X,slide_tri_Y,Gradient_X,Gradient_Y,slide_grad_X,slide_grad_Y,Nelder_X,Nelder_Y,slide_nelder_X,slide_nelder_Y
2025/8/13 16:29,1.10876875,0.508951726,,,,,,,,,,
2025/8/13 16:29,,,1.10876875,0.508951726,,,,,,,,
2025/8/13 16:29,,,,,1.159498697,0.132208232,,,,,,
2025/8/13 16:29,,,,,,,1.159498697,0.132208232,,,,
2025/8/13 16:29,,,,,,,,,1.154635194,0.108433436,,
2025/8/13 16:29,,,,,,,,,,,1.154635194,0.108433436
2025/8/13 16:29,1.10876875,0.508951726,,,,,,,,,,
2025/8/13 16:29,,,1.10876875,0.508951726,,,,,,,,
2025/8/13 16:29,,,,,1.159498697,0.132208232,,,,,,
2025/8/13 16:29,,,,,,,1.159498697,0.132208232,,,,
2025/8/13 16:29,,,,,,,,,1.154635194,0.108433436,,
2025/8/13 16:29,,,,,,,,,,,1.154635194,0.108433436
2025/8/13 16:29,1.10876875,0.508951726,,,,,,,,,,
2025/8/13 16:29,,,1.10876875,0.508951726,,,,,,,,
2025/8/13 16:29,,,,,1.159498697,0.132208232,,,,,,
2025/8/13 16:29,,,,,,,1.159498697,0.132208232,,,,
2025/8/13 16:29,,,,,,,,,1.154635194,0.108433436,,
2025/8/13 16:29,,,,,,,,,,,1.154635194,0.108433436
2025/8/13 16:29,1.10876875,0.508951726,,,,,,,,,,
2025/8/13 16:29,,,1.10876875,0.508951726,,,,,,,,
2025/8/13 16:29,,,,,1.159498697,0.132208232,,,,,,
2025/8/13 16:29,,,,,,,1.159498697,0.132208232,,,,
2025/8/13 16:29,,,,,,,,,1.154635194,0.108433436,,
2025/8/13 16:29,,,,,,,,,,,1.154635194,0.108433436
2025/8/13 16:29,1.10876875,0.508951726,,,,,,,,,,
2025/8/13 16:29,,,1.10876875,0.508951726,,,,,,,,
2025/8/13 16:29,,,,,1.159498697,0.132208232,,,,,,
2025/8/13 16:29,,,,,,,1.159498697,0.132208232,,,,
2025/8/13 16:29,,,,,,,,,1.154635194,0.108433436,,
2025/8/13 16:29,,,,,,,,,,,1.154635194,0.108433436
2025/8/13 16:29,1.10876875,0.508951726,,,,,,,,,,
2025/8/13 16:29,,,1.10876875,0.508951726,,,,,,,,
2025/8/13 16:29,,,,,1.159498697,0.132208232,,,,,,
2025/8/13 16:29,,,,,,,1.159498697,0.132208232,,,,
2025/8/13 16:29,,,,,,,,,1.154635194,0.108433436,,
2025/8/13 16:29,,,,,,,,,,,1.154635194,0.108433436
2025/8/13 16:29,1.10876875,0.508951726,,,,,,,,,,
2025/8/13 16:29,,,1.10876875,0.508951726,,,,,,,,
2025/8/13 16:29,,,,,1.159498697,0.132208232,,,,,,
2025/8/13 16:29,,,,,,,1.159498697,0.132208232,,,,
2025/8/13 16:29,,,,,,,,,1.154635194,0.108433436,,
2025/8/13 16:29,,,,,,,,,,,1.154635194,0.108433436
2025/8/13 16:29,1.10725,0.48795229,,,,,,,,,,
2025/8/13 16:29,,,1.108578906,0.506326796,,,,,,,,
2025/8/13 16:29,,,,,1.154307881,0.127511294,,,,,,
2025/8/13 16:29,,,,,,,1.158849845,0.131621115,,,,
2025/8/13 16:29,,,,,,,,,1.14946853,0.104581404,,
2025/8/13 16:29,,,,,,,,,,,1.153989361,0.107951932
2025/8/13 16:29,1.10725,0.48795229,,,,,,,,,,
2025/8/13 16:29,,,1.10843125,0.504285184,,,,,,,,
2025/8/13 16:29,,,,,1.154307881,0.127511294,,,,,,
2025/8/13 16:29,,,,,,,1.158345182,0.131164468,,,,
2025/8/13 16:29,,,,,,,,,1.14946853,0.104581404,,
2025/8/13 16:29,,,,,,,,,,,1.153487047,0.107577429
2025/8/13 16:29,1.10725,0.48795229,,,,,,,,,,
2025/8/13 16:29,,,1.108313125,0.502651895,,,,,,,,
2025/8/13 16:29,,,,,1.154307881,0.127511294,,,,,,
2025/8/13 16:29,,,,,,,1.157941452,0.130799151,,,,
2025/8/13 16:29,,,,,,,,,1.14946853,0.104581404,,
2025/8/13 16:29,,,,,,,,,,,1.153085195,0.107277826
2025/8/13 16:29,1.10725,0.48795229,,,,,,,,,,
2025/8/13 16:29,,,1.108216477,0.501315567,,,,,,,,
2025/8/13 16:29,,,,,1.154958553,0.116663533,,,,,,
2025/8/13 16:29,,,,,,,1.157670279,0.129514095,,,,
2025/8/13 16:29,,,,,,,,,1.149673089,0.092890852,,
2025/8/13 16:29,,,,,,,,,,,1.152775004,0.105969919
2025/8/13 16:29,1.10725,0.48795229,,,,,,,,,,
2025/8/13 16:29,,,1.108135938,0.500201961,,,,,,,,
2025/8/13 16:29,,,,,1.155569072,0.105778434,,,,,,
2025/8/13 16:29,,,,,,,1.157495179,0.127536123,,,,
2025/8/13 16:29,,,,,,,,,1.149883285,0.080234563,,
2025/8/13 16:29,,,,,,,,,,,1.152534027,0.103825306
2025/8/13 16:29,1.10725,0.48795229,,,,,,,,,,
2025/8/13 16:29,,,1.108067788,0.499259679,,,,,,,,
2025/8/13 16:29,,,,,1.156139251,0.094857637,,,,,,
2025/8/13 16:29,,,,,,,1.157390877,0.125022393,,,,
2025/8/13 16:29,,,,,,,,,1.15031482,0.068743578,,
2025/8/13 16:29,,,,,,,,,,,1.152363319,0.101126712
2025/8/13 16:29,1.10725,0.48795229,,,,,,,,,,
2025/8/13 16:29,,,1.108009375,0.498452008,,,,,,,,
2025/8/13 16:29,,,,,1.156668941,0.083902849,,,,,,
2025/8/13 16:29,,,,,,,1.15733931,0.122085283,,,,
2025/8/13 16:29,,,,,,,,,1.150627612,0.055878436,,
2025/8/13 16:29,,,,,,,,,,,1.15223934,0.097894692
2025/8/13 16:29,1.10725,0.48795229,,,,,,,,,,
2025/8/13 16:29,,,1.10795875,0.497752027,,,,,,,,
2025/8/13 16:29,,,,,1.156668941,0.083902849,,,,,,
2025/8/13 16:29,,,,,,,1.157294619,0.119539787,,,,
2025/8/13 16:29,,,,,,,,,1.150627612,0.055878436,,
2025/8/13 16:29,,,,,,,,,,,1.152131891,0.095093609
2025/8/13 16:29,1.10725,0.48795229,,,,,,,,,,
2025/8/13 16:29,,,1.107914453,0.497139543,,,,,,,,
2025/8/13 16:29,,,,,1.156668941,0.083902849,,,,,,
2025/8/13 16:29,,,,,,,1.157255514,0.117312479,,,,
2025/8/13 16:29,,,,,,,,,1.150627612,0.055878436,,
2025/8/13 16:29,,,,,,,,,,,1.152037874,0.09264266
2025/8/13 16:29,1.10725,0.48795229,,,,,,,,,,
2025/8/13 16:29,,,1.107875368,0.496599117,,,,,,,,
2025/8/13 16:29,,,,,1.157158038,0.07291584,,,,,,
2025/8/13 16:29,,,,,,,1.15724978,0.114700912,,,,
2025/8/13 16:29,,,,,,,,,1.150217684,0.04365038,,
2025/8/13 16:29,,,,,,,,,,,1.151930804,0.089760761
2025/8/13 16:29,1.10725,0.48795229,,,,,,,,,,
2025/8/13 16:29,,,1.107840625,0.496118737,,,,,,,,
2025/8/13 16:29,,,,,1.157158038,0.07291584,,,,,,
2025/8/13 16:29,,,,,,,1.157244683,0.112379519,,,,
2025/8/13 16:29,,,,,,,,,1.150217684,0.04365038,,
2025/8/13 16:29,,,,,,,,,,,1.15183563,0.087199074
2025/8/13 16:29,1.10725,0.48795229,,,,,,,,,,
2025/8/13 16:29,,,1.107809539,0.495688924,,,,,,,,
2025/8/13 16:29,,,,,1.157606478,0.061898442,,,,,,
2025/8/13 16:29,,,,,,,1.157263725,0.10972262,,,,
2025/8/13 16:29,,,,,,,,,1.15052961,0.03115903,,
2025/8/13 16:29,,,,,,,,,,,1.151766893,0.084249598
2025/8/13 16:29,1.10876875,0.508951726,,,,,,,,,,
2025/8/13 16:29,,,1.1078575,0.496352064,,,,,,,,
2025/8/13 16:29,,,,,1.162869893,0.066418879,,,,,,
2025/8/13 16:29,,,,,,,1.157544033,0.107557433,,,,
2025/8/13 16:29,,,,,,,,,1.155604629,0.034585747,,
2025/8/13 16:29,,,,,,,,,,,1.151958779,0.081766405
2025/8/13 16:29,1.10876875,0.508951726,,,,,,,,,,
2025/8/13 16:29,,,1.107900893,0.496952048,,,,,,,,
2025/8/13 16:29,,,,,1.162409903,0.07746868,,,,,,
2025/8/13 16:29,,,,,,,1.157775742,0.106124635,,,,
2025/8/13 16:29,,,,,,,,,1.155362836,0.046772225,,
2025/8/13 16:29,,,,,,,,,,,1.152120877,0.080100016
2025/8/13 16:29,1.10876875,0.508951726,,,,,,,,,,
2025/8/13 16:29,,,1.107940341,0.497497488,,,,,,,,
2025/8/13 16:29,,,,,1.162409903,0.07746868,,,,,,
2025/8/13 16:29,,,,,,,1.157986385,0.104822092,,,,
2025/8/13 16:29,,,,,,,,,1.155362836,0.046772225,,
2025/8/13 16:29,,,,,,,,,,,1.152268239,0.078585116
2025/8/13 16:29,1.10876875,0.508951726,,,,,,,,,,
2025/8/13 16:29,,,1.107976359,0.497995498,,,,,,,,
2025/8/13 16:29,,,,,1.162409903,0.07746868,,,,,,
2025/8/13 16:29,,,,,,,1.158178712,0.103632813,,,,
2025/8/13 16:29,,,,,,,,,1.155362836,0.046772225,,
2025/8/13 16:29,,,,,,,,,,,1.152402787,0.077201947
