2025-03-08 16:48:11,00:04,3.61,N/A
2025-03-08 16:48:15,00:04,3.5,0.02
2025-03-08 16:48:23,00:04,3.43,0.29
2025-03-08 16:48:23,00:04,3.47,0.13
2025-03-08 16:48:48,00:04,3.46,0.13
2025-03-08 16:48:54,00:04,3.47,0.08
2025-03-08 16:49:02,00:04,3.42,0.15
2025-03-08 16:49:06,00:04,3.58,0.13
2025-03-08 16:49:28,00:04,3.46,0.21
2025-03-08 16:49:53,00:04,3.59,0.05
2025-03-08 16:50:01,00:04,3.53,0.04
2025-03-08 16:50:05,00:04,3.63,0.14
2025-03-08 16:50:47,00:04,3.51,0.21
2025-03-08 16:50:49,00:04,3.65,0.02
2025-03-08 16:51:05,00:04,3.56,0.69
2025-03-08 16:51:13,00:04,3.49,0.06
2025-03-08 16:51:15,00:04,3.55,0.12
2025-03-08 16:51:30,00:04,3.6,0.66
2025-03-08 16:51:32,00:04,3.48,0.07
2025-03-08 16:51:38,00:04,3.63,0.59
2025-03-08 16:51:38,00:04,3.55,0.16
2025-03-08 16:51:40,00:04,3.46,0.16
